Mid	Mname	Mprice	MlistId	MlistName
M0000000	套餐0	6	S0000052,1+S0000025,1	烤肉堡+咖啡
M0000001	套餐1	6	S0000052,1+S0000022,1	烤肉堡+豆浆
M0000002	套餐2	10	S0000007,1+S0000025,1	田园+咖啡
M0000003	套餐3	10	S0000007,1+S0000022,1	田园+豆浆
M0000004	套餐4	12	S0000055,1+S0000025,1	猪柳蛋堡+咖啡
M0000005	套餐5	12	S0000055,1+S0000022,1	猪柳蛋堡+豆浆
M0000006	套餐6	12	S0000053,1+S0000025,1	培根蛋堡+咖啡
M0000007	套餐7	12	S0000053,1+S0000022,1	培根蛋堡+豆浆
M0000008	套餐8	11	S0000056,1+S0000025,1	培根烧饼+咖啡
M0000009	套餐9	11	S0000056,1+S0000022,1	培根烧饼+豆浆
M0000010	套餐10	11	S0000057,1+S0000025,1	熏鸡烧饼+咖啡
M0000011	套餐11	11	S0000057,1+S0000022,1	熏鸡烧饼+豆浆
M0000012	套餐12	6	S0000052,1+S0000013,1	烤肉堡+小可
M0000013	套餐13	6	S0000052,1+S0000028,1	烤肉堡+牛奶
M0000014	套餐14	7	S0000059,1+S0000058,1	皮蛋瘦肉粥+油条
M0000015	套餐15	6	S0000060,1+S0000058,1	香菇鸡肉粥+油条
M0000016	套餐16	8	S0000061,1+S0000058,1	牛肉蛋花粥+油条
M0000017	套餐17	28.5	S0000000,1+S0000036,1+S0000012,1	烤堡+中薯+中可
M0000018	套餐18	28	S0000001,1+S0000036,1+S0000012,1	辣堡+中薯+中可
M0000019	套餐19	28	S0000002,1+S0000036,1+S0000012,1	劲脆+中薯+中可
M0000020	套餐20	27	S0000003,1+S0000036,1+S0000012,1	京卷+中薯+中可
M0000021	套餐21	29	S0000005,1+S0000036,1+S0000012,1	牛五方+中薯+中可
M0000022	套餐22	29.5	S0000006,1+S0000036,1+S0000012,1	虾堡+中薯+中可
M0000023	套餐23	32	S0000029,4+S0000036,1+S0000012,1	4块烤翅+中薯+中可
M0000024	套餐24	30	S0000030,4+S0000036,1+S0000012,1	4块辣翅+中薯+中可
M0000025	套餐25	29	S0000034,2+S0000036,1+S0000012,1	2块原味鸡+中薯+中可
M0000026	套餐26	26.5	S0000000,1+S0000043,1+S0000012,1	烤堡+玉米沙拉+中可
M0000027	套餐27	26	S0000002,1+S0000043,1+S0000012,1	劲脆+玉米沙拉+中可
M0000028	套餐28	26	S0000001,1+S0000043,1+S0000012,1	辣堡+玉米沙拉+中可
M0000029	套餐29	25	S0000003,1+S0000043,1+S0000012,1	京卷+玉米沙拉+中可
M0000030	套餐30	27	S0000005,1+S0000043,1+S0000012,1	牛五方+玉米沙拉+中可
M0000031	套餐31	27.5	S0000006,1+S0000043,1+S0000012,1	虾堡+玉米沙拉+中可
M0000032	套餐32	30	S0000029,4+S0000043,1+S0000012,1	4块烤翅+玉米沙拉+中可
M0000033	套餐33	28	S0000030,4+S0000043,1+S0000012,1	4块辣翅+玉米沙拉+中可
M0000034	套餐34	27	S0000034,2+S0000043,1+S0000012,1	3块原味鸡+玉米沙拉+中可
M0000035	套餐35	31.5	S0000001,1+S0000029,1+S0000019,1	辣堡+烤翅+黑加仑
M0000036	套餐36	30.5	S0000000,1+S0000030,1+S0000020,1	烤堡+辣翅+雪Q布丁
M0000037	套餐37	26	S0000009,1+S0000044,1	牛扒饭+芙蓉汤
M0000038	套餐38	27.5	S0000010,1+S0000044,1	猪扒饭+芙蓉汤
M0000039	套餐39	23	S0000008,1+S0000044,1	烤腿饭+芙蓉汤
M0000040	套餐40	26	S0000009,1+S0000045,1	牛扒饭+菌菇汤
M0000041	套餐41	27.5	S0000010,1+S0000045,1	猪扒饭+菌菇汤
M0000042	套餐42	23	S0000008,1+S0000045,1	烤腿饭+菌菇汤
M0000043	套餐43	74	S0000034,5+S0000030,6+S0000041,1+S0000043,1+S0000012,3	5块原味鸡+6块辣翅+1土豆泥+1玉米沙拉+3杯中可
